timestamp,bitcoin_usd,ethereum_usd
2025-06-02 11:21:36,104939,2503.82
2025-06-02 11:21:46,104939,2503.82
2025-06-02 11:21:56,104939,2503.82
2025-06-02 11:22:07,104939,2503.82
2025-06-02 11:22:17,104939,2503.82
2025-06-02 11:22:28,104923,2503.09
2025-06-02 11:22:38,104923,2503.09
2025-06-02 11:22:50,104923,2503.09
2025-06-02 11:23:00,104923,2503.09
2025-06-02 11:24:13,104886,2502.02
2025-06-02 11:24:23,104886,2502.02
2025-06-02 11:24:34,104886,2502.02
2025-06-02 11:24:44,104886,2502.02
2025-06-02 11:24:55,104886,2502.02
2025-06-02 11:25:05,104886,2502.02
2025-06-02 11:25:16,104882,2501.35
2025-06-02 11:25:26,104882,2501.35
2025-06-02 11:25:37,104882,2501.35
2025-06-02 11:25:48,104882,2501.35
2025-06-02 11:27:00,104882,2501.32
2025-06-02 11:27:10,104882,2501.32
2025-06-02 11:27:21,104882,2501.32
2025-06-02 11:27:31,104882,2501.32
2025-06-02 11:27:41,104882,2501.32
2025-06-02 11:28:57,104885,2501.11
2025-06-02 11:29:09,104885,2501.11
2025-06-02 11:29:20,104885,2501.11
2025-06-02 11:29:31,104885,2501.11
2025-06-02 11:29:46,104885,2501.11
2025-06-02 11:29:56,104885,2501.11
2025-06-02 11:30:07,104876,2500.34
2025-06-02 11:30:20,104876,2500.34
2025-06-02 11:30:39,104876,2500.34
2025-06-02 11:30:50,104876,2500.34
2025-06-02 11:31:01,104876,2500.34
2025-06-02 11:31:12,104879,2499.73
2025-06-02 11:31:24,104879,2499.73
2025-06-02 11:31:34,104879,2499.73
2025-06-02 11:31:45,104879,2499.73
2025-06-02 11:33:06,104891,2499.53
2025-06-02 11:33:16,104891,2499.53
2025-06-02 11:33:26,104891,2499.53
2025-06-02 11:33:36,104891,2499.53
2025-06-02 11:33:47,104891,2499.53
2025-06-02 11:34:58,104898,2498.15
2025-06-02 11:35:12,104898,2498.15
2025-06-02 11:35:25,104898,2498.15
2025-06-02 11:35:38,104898,2498.15
2025-06-02 11:35:48,104898,2498.15
2025-06-02 11:35:58,104898,2498.15
2025-06-02 11:36:09,104902,2498.07
2025-06-02 11:36:21,104902,2498.07
2025-06-02 11:36:32,104902,2498.07
2025-06-02 11:36:43,104902,2498.07
2025-06-02 11:36:55,104902,2498.07
2025-06-02 11:37:21,104897,2498.01
2025-06-02 11:37:31,104897,2498.01
2025-06-02 11:37:42,104897,2498.01
2025-06-02 11:37:52,104897,2498.01
2025-06-02 11:38:04,104897,2498.01
2025-06-02 11:38:15,104897,2498.01
2025-06-02 11:38:26,104902,2497.99
2025-06-02 11:38:37,104902,2497.99
2025-06-02 11:38:47,104902,2497.99
2025-06-02 11:50:56,104951,2498.31
2025-06-02 11:51:07,104951,2498.31
2025-06-02 11:51:17,104951,2498.31
2025-06-02 11:51:27,104951,2498.31
2025-06-02 11:51:38,104951,2498.31
2025-06-03 22:58:45,106363,2639.3,0.197042,161.79
